date,region,carrier,shipments_processed,delay_hours_avg,fuel_price_usd_per_barrel,warehouse_utilization_percent,damage_claims_count
2024-06-16,Asia-Pacific,OceanExpress,2170,4.4,85.6,92,14
2024-06-16,North America,ReliableLogistics,910,1.1,82.5,60,1
2024-06-17,North America,FastShip,1470,2.9,82.8,86,6
2024-06-17,Europe,GlobalConnect,1270,1.4,84.2,74,3
2024-06-17,Asia-Pacific,OceanExpress,2270,4.7,85.9,93,16
2024-06-17,North America,ReliableLogistics,930,1.0,82.8,61,0
2024-06-18,North America,FastShip,1570,2.2,83.1,84,4
2024-06-18,Europe,GlobalConnect,1190,1.8,84.5,76,2
2024-06-18,Asia-Pacific,OceanExpress,2090,4.2,86.2,91,13
2024-06-18,North America,ReliableLogistics,890,1.3,83.1,59,2
2024-06-19,North America,FastShip,1610,2.0,83.4,83,3
2024-06-19,Europe,GlobalConnect,1310,1.6,84.8,73,1
2024-06-19,Asia-Pacific,OceanExpress,2340,4.9,86.5,94,18
2024-06-19,North America,ReliableLogistics,960,0.9,83.4,62,0
2024-06-20,North America,FastShip,1420,3.1,83.7,87,7
2024-06-20,Europe,GlobalConnect,1160,2.1,85.1,77,4
2024-06-20,Asia-Pacific,OceanExpress,2030,3.9,86.8,90,10
2024-06-20,North America,ReliableLogistics,870,1.5,83.7,58,3
2024-06-21,North America,FastShip,1540,2.6,84.0,85,5
2024-06-21,Europe,GlobalConnect,1240,1.5,85.4,75,2
2024-06-21,Asia-Pacific,OceanExpress,2180,4.4,87.1,92,14
2024-06-21,North America,ReliableLogistics,920,1.1,84.0,60,1
2024-06-22,North America,FastShip,1490,2.9,84.3,86,6
2024-06-22,Europe,GlobalConnect,1290,1.4,85.7,74,3
2024-06-22,Asia-Pacific,OceanExpress,2280,4.7,87.4,93,17
2024-06-22,North America,ReliableLogistics,940,1.0,84.3,61,0
2024-06-23,North America,FastShip,1590,2.2,84.6,84,4
2024-06-23,Europe,GlobalConnect,1200,1.7,86.0,76,2
2024-06-23,Asia-Pacific,OceanExpress,2100,4.1,87.7,91,12
2024-06-23,North America,ReliableLogistics,900,1.3,84.6,59,2
2024-06-24,North America,FastShip,1610,2.0,84.9,83,3
2024-06-24,Europe,GlobalConnect,1330,1.6,86.3,73,1
2024-06-24,Asia-Pacific,OceanExpress,2370,5.0,88.0,94,19
2024-06-24,North America,ReliableLogistics,970,0.9,84.9,62,0
2024-06-25,North America,FastShip,1430,3.1,85.2,87,7
2024-06-25,Europe,GlobalConnect,1180,2.1,86.6,77,4
2024-06-25,Asia-Pacific,OceanExpress,2040,3.9,88.3,90,10
2024-06-25,North America,ReliableLogistics,880,1.5,85.2,58,3
