Month,Month Label,Economy,Economy Label,Index (Average M2 2023 = 100),Index (Average M2 2023 = 100) Footnote,Index (Average M2 2023 = 100) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2006M02,"Feb. 2006",124,"Canada",157.45255,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",136,"Cayman Islands",9.32752,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",152,"Chile",78.29969,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",156,"China",717.71445,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",344,"China, Hong Kong SAR",555.33549,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",158,"China, Taiwan Province of",358.61995,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",166,"Cocos (Keeling) Islands",3.4796,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",170,"Colombia",130.91452,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",174,"Comoros",13.18543,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",178,"Congo",49.69651,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",184,"Cook Islands",3.26918,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",188,"Costa Rica",80.77,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",384,"Cote d'Ivoire",77.30148,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",191,"Croatia",31.46861,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",192,"Cuba",32.85938,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",531,"Curacao",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006M02,"Feb. 2006",196,"Cyprus",57.53445,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",408,"Dem. People's Rep. of Korea",2.98765,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",180,"Dem. Rep. of the Congo",21.55401,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",208,"Denmark",68.7357,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",262,"Djibouti",50.94368,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",212,"Dominica",23.74701,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",214,"Dominican Republic",107.54113,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",218,"Ecuador",68.94127,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",818,"Egypt",221.1144,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",222,"El Salvador",25.09639,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",226,"Equatorial Guinea",23.31697,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",232,"Eritrea",13.24642,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",233,"Estonia",32.61638,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",234,"Faroe Islands",11.58728,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",242,"Fiji",35.11816,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",246,"Finland",81.64718,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",250,"France",298.7783,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",254,"French Guiana",21.66854,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",258,"French Polynesia",38.7793,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",266,"Gabon",37.59806,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",270,"Gambia",10.81613,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",268,"Georgia",21.35756,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",276,"Germany",464.4652,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",288,"Ghana",72.5368,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",292,"Gibraltar",6.71792,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",300,"Greece",129.24597,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",304,"Greenland",4.48596,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",308,"Grenada",22.66404,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",312,"Guadeloupe",37.74956,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",316,"Guam",21.63258,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",320,"Guatemala",91.64637,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",831,"Guernsey",4.75538,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",324,"Guinea",34.96757,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",624,"Guinea-Bissau",10.25497,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",328,"Guyana",33.37324,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",332,"Haiti",18.42788,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",340,"Honduras",59.19682,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",352,"Iceland",18.63189,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",356,"India",212.11615,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",360,"Indonesia",215.79946,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",364,"Iran (Islamic Republic of)",92.8776,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",368,"Iraq",8.42721,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",372,"Ireland",74.12175,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",376,"Israel",101.58847,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",380,"Italy",326.29629,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",388,"Jamaica",117.20825,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",392,"Japan",499.26573,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",832,"Jersey",4.75538,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",400,"Jordan",69.64961,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",404,"Kenya",55.14895,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",414,"Kuwait",51.15092,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",428,"Latvia",34.08159,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",422,"Lebanon",74.70906,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",430,"Liberia",11.50164,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",434,"Libya",37.31237,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",440,"Lithuania",29.83234,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",450,"Madagascar",39.44989,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",458,"Malaysia",388.24302,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",462,"Maldives",21.64622,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",470,"Malta",89.56145,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",584,"Marshall Islands",11.04635,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",474,"Martinique",39.35448,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",478,"Mauritania",21.92953,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",480,"Mauritius",56.88898,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",175,"Mayotte",21.36422,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",484,"Mexico",143.57109,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",583,"Micronesia (Federated States of)",5.88491,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",499,"Montenegro",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006M02,"Feb. 2006",504,"Morocco",63.73564,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",508,"Mozambique",32.46817,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",104,"Myanmar",15.88338,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",516,"Namibia",32.79864,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",528,"Netherlands (Kingdom of the)",432.40496,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",530,"Netherlands Antilles",57.65375,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",540,"New Caledonia",42.14516,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",554,"New Zealand",91.37835,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",558,"Nicaragua",14.77369,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",566,"Nigeria",75.94658,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",574,"Norfolk Island",2.96564,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",580,"Northern Mariana Islands",9.87232,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",578,"Norway",43.57236,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",512,"Oman",93.39622,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",586,"Pakistan",118.12768,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",585,"Palau",9.87232,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",591,"Panama",116.78879,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",598,"Papua New Guinea",31.02517,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",604,"Peru",78.65037,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",608,"Philippines",123.38562,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",616,"Poland",52.3158,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",620,"Portugal",127.34437,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",630,"Puerto Rico",71.31497,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",634,"Qatar",39.79113,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",410,"Republic of Korea",428.34691,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",638,"Reunion",46.049,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",642,"Romania",63.41425,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",643,"Russian Federation",125.42823,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",659,"Saint Kitts and Nevis",12.88739,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",662,"Saint Lucia",22.67148,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",670,"Saint Vincent and the Grenadines",24.93049,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",882,"Samoa",34.3903,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",678,"Sao Tome and Principe",12.43406,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",682,"Saudi Arabia",191.71944,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",686,"Senegal",58.77905,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",891,"Serbia and Montenegro",4.59942,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",690,"Seychelles",17.74464,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",694,"Sierra Leone",11.50164,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",702,"Singapore",538.75388,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",534,"Sint Maarten (Dutch part)",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006M02,"Feb. 2006",705,"Slovenia",49.51463,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",090,"Solomon Islands",21.03949,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",706,"Somalia",13.80222,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",710,"South Africa",126.73174,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",724,"Spain",373.56627,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",144,"Sri Lanka",159.57219,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",729,"Sudan",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006M02,"Feb. 2006",736,"Sudan (...2011)",37.17778,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",740,"Suriname",33.37324,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",752,"Sweden",113.12489,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",760,"Syrian Arab Republic",50.19234,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",764,"Thailand",195.56475,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",626,"Timor-Leste",8.96421,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",768,"Togo",52.44127,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",776,"Tonga",25.36567,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",780,"Trinidad and Tobago",79.60568,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",788,"Tunisia",50.11804,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",792,"Turkiye",163.3873,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",796,"Turks and Caicos Islands",6.2486,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",804,"Ukraine",57.93788,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",784,"United Arab Emirates",247.93217,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",826,"United Kingdom",488.02052,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",834,"United Republic of Tanzania",52.52368,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",840,"United States",505.61338,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",850,"United States Virgin Islands",22.11373,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",858,"Uruguay",68.6549,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",548,"Vanuatu",23.31189,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",862,"Venezuela (Bolivarian Rep. of)",115.95256,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",704,"Viet Nam",135.02343,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",876,"Wallis and Futuna Islands",9.46819,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",887,"Yemen",55.36304,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",012,"Algeria",61.42829,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",016,"American Samoa",31.72275,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",024,"Angola",63.25063,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",660,"Anguilla",6.89738,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",028,"Antigua and Barbuda",24.65153,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",032,"Argentina",114.39198,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",533,"Aruba",30.64206,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",036,"Australia",141.64793,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",044,"Bahamas",53.47718,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",048,"Bahrain",33.71766,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",050,"Bangladesh",44.42613,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",052,"Barbados",36.60703,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",056,"Belgium",422.96782,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",084,"Belize",14.72717,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",204,"Benin",39.97549,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",060,"Bermuda",7.79287,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",535,"Bonaire, Sint Eustatius and Saba",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006M05,"May  2006",076,"Brazil",164.8024,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",092,"British Virgin Islands",13.69095,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",096,"Brunei Darussalam",21.21285,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",100,"Bulgaria",36.47124,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",132,"Cabo Verde",15.54513,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",116,"Cambodia",17.10097,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",120,"Cameroon",66.46748,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",124,"Canada",158.75587,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",136,"Cayman Islands",9.32752,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",152,"Chile",82.9421,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",156,"China",736.63867,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",344,"China, Hong Kong SAR",558.63365,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",158,"China, Taiwan Province of",359.37917,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",166,"Cocos (Keeling) Islands",3.4796,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",170,"Colombia",138.20547,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",174,"Comoros",12.03538,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",178,"Congo",52.52665,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",184,"Cook Islands",3.26918,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",188,"Costa Rica",83.26934,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",384,"Cote d'Ivoire",78.85658,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",191,"Croatia",33.70627,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",192,"Cuba",32.35024,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",531,"Curacao",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006M05,"May  2006",196,"Cyprus",56.05383,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",408,"Dem. People's Rep. of Korea",2.98765,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",180,"Dem. Rep. of the Congo",21.56402,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",208,"Denmark",71.99891,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",262,"Djibouti",50.47184,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",212,"Dominica",22.39212,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",214,"Dominican Republic",106.02292,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",218,"Ecuador",68.69455,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",818,"Egypt",226.91588,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",222,"El Salvador",27.03703,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",226,"Equatorial Guinea",24.64196,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",232,"Eritrea",10.68293,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",233,"Estonia",30.38591,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",234,"Faroe Islands",11.58728,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",242,"Fiji",41.55977,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",246,"Finland",84.7415,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",250,"France",296.3967,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",254,"French Guiana",21.66854,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",258,"French Polynesia",39.4516,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",266,"Gabon",36.64492,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",270,"Gambia",14.39868,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",268,"Georgia",20.07018,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",276,"Germany",480.05407,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",288,"Ghana",74.20322,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",292,"Gibraltar",7.38216,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",300,"Greece",134.28979,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",304,"Greenland",4.48596,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",308,"Grenada",22.66404,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",312,"Guadeloupe",38.1448,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",316,"Guam",21.63258,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",320,"Guatemala",94.99531,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",831,"Guernsey",4.75538,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",324,"Guinea",38.38778,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",624,"Guinea-Bissau",15.04613,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",328,"Guyana",33.37324,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",332,"Haiti",20.75395,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",340,"Honduras",60.87369,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",352,"Iceland",18.65427,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",356,"India",216.67268,,,,,"No value reported or collected",,,"No value reported or collected"
2006M05,"May  2006",360,"Indonesia",224.69831,,,,,"No value reported or collected",,,"No value reported or collected"
